"id","type","content"
11,"release","EP ""The Flag"""
12,"release","3rd Single Album : 'I feel'"
13,"release","5th Mini Album ""MASTER : PIECE"""
14,"release","Pre-release Single Album ""Chili chocolate"""
15,"release","'Nostalgia'"
16,"release","3rd Mini Album ""Cherry Dash"""
17,"release","2nd Mini Album ""The Alchemist"" - 'anchor'"
18,"release","Pre-release Single 5th Full Album ""Remember Archive"""
19,"release","Collaboration Song ""Expectations"""
20,"release","2nd Single Album ""Mysterious"""
21,"release","Remake Digital Single ""Hug"""
22,"release","1st Anniversary Special Album ""ESSEGE"" - 'Fix YOU'"
23,"release","Single ""Asphalt"""
24,"release","Digital Single ""Errr Day"""
25,"release","1st Single Album ""ASTERUM"""
26,"release","3rd Mini Album ""Rover"""
27,"release","Pre-Debut ""CALLLING"""
28,"release","Special Single"
29,"release","The 3rd Self-composed Song ""love you twice"""
30,"release","Japan Single Album"
31,"release","Japan 2nd Single ""FLY-BY"""
32,"release","Single Album"
33,"release","5th Full Album ""Remember Archive"""
34,"release","1st Solo Album ""FACE"" - Pre-release Song"
35,"release","1st Mini Album ""expérgo"""
36,"release","Single Album ""Speing Breeze"""
37,"release","Double Single Album ""헤어질 리 없잖아"""
38,"release","Solo Single Album ""Strange way to love"""
39,"release","1st Solo Single Album ""Drowning"""
40,"release","English Single Album ""Beatbox"""
41,"release","1st Single ""ACT 1, SCENE 1"" Pre-release Song 'Chico Malo'"
42,"release","Debut Single Album ""Lights Up"""
43,"release","""BILLION MUSIC VOL.1"""
44,"release","Japan 2nd Single Album ""Limitless"""
45,"release","Japan Debut Mini Album ""DEAR VIOLET"""
46,"release","6th Mini Album ""History Of Kingdom: PartⅥ. Mujin"""
47,"release","""GOODBYE ZERO"""
48,"release","4th Digital Single Album ""Challenger"""
49,"release","1st Solo Album ""FACE"""
50,"release","1st Full Album ""Sour & Sweet"""
51,"release","4th Mini Album ""the Billage of perception: Chapter three"""
52,"release","Digital Single ""Eyes On Me"""
53,"release","1st Single ""ACT 1, SCENE 1"""
54,"release","2nd Mini Album ""DELIGHT"""
55,"release","Solo Debut ""ME"""
56,"event","BLOCK B member B-BOMB will be having a fanmeeting soon. He is taking a new step in a new direction and inviting fans to start the journey with him. The event will happen along with special fan events like a fan-sign event and a hi-touch event. You don't want to miss it!

If you're interested in getting tickets, check out the details below."
57,"event","She has been raising expectations for her concert and will use the concert to demonstrate the skills and energy that she's honed over the years. The concert promises to create unforgettable memories with colorful live stages filled with emotion. The concert will be held over two days. You don't want to miss it!"
58,"event","Many fans have been waiting for Lee SeungGi's exceptional voice and they'll finally have the chance to listen to it live on his Asia concert tour. You don't want to miss it!"
