"id","Girl_group","Boy_group","idol_solo","idol_name_kr","idol_name_en","idol_profile","idol_anniv","idol_birthday","idol_gender"
1,"BLACKPINK",NULL,"GirlSolo","제니","JENNY","https://image.kpopmap.com/2019/03/BLACKPINK-Jennie-082322.jpg","2016-08-08","1996-01-16","Woman"
2,"BLACKPINK",NULL,"GirlSolo","로제","ROSE","https://image.kpopmap.com/2019/03/BLACKPINK-Rose-082322.jpg","2016-08-08","1997-02-11","Woman"
3,"BLACKPINK",NULL,"GirlSolo","리사","LISA","https://image.kpopmap.com/2019/03/BLACKPINK-Lisa-082322.jpg","2016-08-08","1997-03-27","Woman"
4,"BLACKPINK",NULL,NULL,"지수","JISU","https://image.kpopmap.com/2019/03/jisoo_profile_s_0215.jpg","2016-08-08","1995-01-03","Woman"
5,"AKMU",NULL,"GirlSolo","이수현","Lee Su-Hyun","https://image.kpopmap.com/2019/03/AKMU-SuHyun-1.jpg","2014-04-07","1995-05-04","Woman"
6,NULL,"AKMU","BoySolo","이찬혁","Lee Chan-Hyuk","https://image.kpopmap.com/2019/03/AKMU-ChanHyuk-1.jpg","2014-04-07","1996-09-12","Man"
7,"ASEPA",NULL,NULL,"카리나","Karina","https://image.kpopmap.com/2020/10/aespa-Karina-062822.jpg","2020-11-17","2000-04-11","Woman"
8,"ASEPA",NULL,NULL,"윈터","WINTER","https://image.kpopmap.com/2020/10/aespa-Winter-062822.jpg","2020-11-17","2001-01-01","Woman"
9,"ASEPA",NULL,NULL,"닝닝","NingNing","https://image.kpopmap.com/2020/11/aespa-NingNing-062822.jpg","2023-03-23","2002-10-23","Woman"
10,"ASEPA",NULL,NULL,"지젤","Giselle","https://image.kpopmap.com/2020/11/aespa-Giselle-062822.jpg","2023-03-23","2000-10-30","Woman"
11,"BILLLIE",NULL,NULL,"문수아","MoonSua","https://image.kpopmap.com/2021/10/billlie-debut-member-profile-MoonSua.jpg","2021-11-10","1999-09-09","Woman"
12,"BILLLIE",NULL,NULL,"수현","SuHyun","https://image.kpopmap.com/2021/10/billlie-debut-member-profile-SuHyun.jpg","2021-11-10","2000-01-15","Woman"
13,"BILLLIE",NULL,NULL,"츠키","TSUKI","https://image.kpopmap.com/2021/10/billlie-debut-member-profile-TSUKI.jpg","2021-11-10","2002-09-21","Woman"
14,"BILLLIE",NULL,NULL,"션","Sheon","https://image.kpopmap.com/2021/07/Billlie-Sheon.jpg","2021-11-10","2003-01-28","Woman"
15,"BILLLIE",NULL,NULL,"하람","HaRam","https://image.kpopmap.com/2021/10/billlie-debut-member-profile-HaRam.jpg","2021-11-10","2001-01-13","Woman"
16,"BILLLIE",NULL,NULL,"하루나","Haruna","https://image.kpopmap.com/2021/10/billlie-debut-member-profile-Haruna.jpg","2021-11-10","2006-01-30","Woman"
17,"BILLLIE",NULL,NULL,"시윤","SiYoon","https://image.kpopmap.com/2021/10/billlie-debut-member-profile-SiYoon.jpg","2021-11-10","2005-02-16","Woman"
18,"ITZY",NULL,NULL,"예지","YeJi","https://image.kpopmap.com/2019/01/ITZY-YeJi-070522.jpg","2013-01-29","1990-09-21","Woman"
19,"ITZY",NULL,NULL,"류진","RyuJin","https://image.kpopmap.com/2019/01/ITZY-RyuJin-070522.jpg","2016-02-16","1991-05-02","Woman"
20,"ITZY",NULL,NULL,"리아","LiA","https://image.kpopmap.com/2019/01/ITZY-LiA-070522.jpg","2016-02-16","1992-07-19","Woman"
21,"ITZY",NULL,NULL,"유나","YuNa","https://image.kpopmap.com/2019/01/ITZY-YuNa-070522.jpg","2016-02-16","1993-04-06","Woman"
22,"ITZY",NULL,NULL,"채령","ChaeRyeong","https://image.kpopmap.com/2019/01/ITZY-ChaeRyeong-070522.jpg","2018-01-24","1983-12-20","Woman"
23,"NMIXX",NULL,NULL,"릴리","Lily","https://image.kpopmap.com/2022/02/NMIXX-Lily-091322.jpg","2018-01-24","1983-11-05","Woman"
24,"NMIXX",NULL,NULL,"해원","HaeWon","https://image.kpopmap.com/2022/02/NMIXX-HaeWon-091322.jpg","2018-01-24","1973-01-04","Woman"
25,"NMIXX",NULL,NULL,"설윤","SullYoon","https://image.kpopmap.com/2021/10/NMIXX-SullYoon-091322.jpg","2018-01-24","1980-01-06","Woman"
26,"NMIXX",NULL,NULL,"지우","JiWoo","https://image.kpopmap.com/2021/10/NMIXX-JiWoo-091322.jpg","2019-01-21","1996-01-10","Woman"
27,"NMIXX",NULL,NULL,"베이","Bae","https://image.kpopmap.com/2022/02/NMIXX-Bae-091322.jpg","2019-01-21","1999-03-03","Woman"
28,"NMIXX",NULL,NULL,"규진","KyuJin","https://image.kpopmap.com/2021/10/NMIXX-KyuJin-091322.jpg","2019-01-21","2002-03-13","Woman"
29,"Red-Velvet",NULL,NULL,"아이린","Irene","https://image.kpopmap.com/2019/03/Red-Velvet-Irene-1.jpg","2019-01-21","2001-04-26","Woman"
30,"Red-Velvet",NULL,NULL,"슬기","SeulGi","https://image.kpopmap.com/2019/03/Red-Velvet-SeulGi-101222.jpg","2019-01-21","2000-09-04","Woman"
31,"Red-Velvet",NULL,NULL,"웬디","Wendy","https://image.kpopmap.com/2019/03/Red-Velvet-Wendy.jpg","2019-01-21","1997-03-05","Woman"
32,"Red-Velvet",NULL,NULL,"조이","Joy","https://image.kpopmap.com/2019/03/Red-Velvet-Joy.jpg","2019-01-21","2004-11-16","Woman"
33,"CHOBOM",NULL,NULL,"박초롱","Park-ChoRong","https://image.kpopmap.com/2018/12/CHOBOM-ChoRong-071322.jpg","2022-07-12","1991-03-03","Woman"
34,"CHOBOM",NULL,NULL,"윤보미","Yun-BoMi","https://image.kpopmap.com/2018/12/CHOBOM-BoMi-071322.jpg","2022-07-12","1993-08-13","Woman"
35,"CLASSY",NULL,NULL,"김선유","Kim-SeonYou","https://image.kpopmap.com/2021/11/CLASSy-Kim-SeonYou.jpg","2022-02-27","2008-03-20","Woman"
36,"CLASSY",NULL,NULL,"윤채원","Yoon-ChaeWon","https://image.kpopmap.com/2021/11/CLASSy-Yoon-ChaeWon.jpg","2022-02-27","2003-06-04","Woman"
37,"CLASSY",NULL,NULL,"원지민","Won-JiMin","https://image.kpopmap.com/2021/11/CLASSy-Won-JiMin.jpg","2022-02-27","2007-11-25","Woman"
38,"CLASSY",NULL,NULL,"홍혜주","Hong-HyeJu","https://image.kpopmap.com/2021/11/CLASSy-Hong-HyeJu.jpg","2022-02-27","2003-12-09","Woman"
39,"CLASSY",NULL,NULL,"박보은","Park-BoEun","https://image.kpopmap.com/2021/11/CLASSy-Park-BoEun.jpg","2022-02-27","2008-02-11","Woman"
40,"CLASSY",NULL,NULL,"김리원","Kim-RiWon","https://image.kpopmap.com/2021/11/CLASSy-Kim-RiWon.jpg","2022-02-27","2007-01-11","Woman"
41,"CLASSY",NULL,NULL,"문형서","Myung-HyungSeo","https://image.kpopmap.com/2019/07/Myung-HyungSeo-profile.jpg","2022-02-27","2001-06-25","Woman"
42,"DAVICHI",NULL,NULL,"강민경","Kang-MinKyung","https://image.kpopmap.com/2019/01/Davichi-MinKyung.jpg","2008-02-22","1990-08-03","Woman"
43,"DAVICHI",NULL,NULL,"이해리","Lee-HaeRi","https://image.kpopmap.com/2019/01/Davichi-Lee-HaeRi.jpg","2008-02-22","1985-02-14","Woman"
44,"EXID",NULL,NULL,"솔지","SolJi","https://image.kpopmap.com/2020/02/EXID-Profile-SolJi.png","2012-02-16","1989-01-10","Woman"
45,"EXID",NULL,NULL,"하니","HaNi","https://image.kpopmap.com/2019/02/HaNi_profile_s_0217.jpeg","2012-02-16","1992-05-01","Woman"
46,"EXID",NULL,NULL,"LE","LE","https://image.kpopmap.com/2020/02/EXID-Profile-LE.png","2012-02-16","1991-12-10","Woman"
