"id","created_at","updated_at","ScheduleTitle","location","when","ScheduleType_id"
15,"2023-04-03 02:06:14.961246+00","2023-04-03 04:58:39.609453+00","""Archive Of Emotions"" Concert","Baekam Art Hall","2023-05-05 08:00:00+00",57
16,"2023-04-03 02:08:21.2923+00","2023-04-03 04:58:48.12191+00","""The Dreamers Dream - Chapter 2"" Asia Concert Tour: Cities","Seoul (Link Arts Center)","2023-05-04 09:00:00+00",58
17,"2023-04-03 02:09:48.865878+00","2023-04-03 04:59:06.22775+00","Fanmeeting","Coex Auditorium, Seoul","2023-04-22 06:00:00+00",59
18,"2023-04-03 02:11:50.513441+00","2023-04-03 04:58:23.271239+00","""Again"" Global Fan Concert Tour: Cities","Bangkok","2023-06-10 07:00:00+00",60
19,"2023-04-03 02:14:22.118547+00","2023-04-03 04:58:10.439739+00","OnlyOneOf's ""seOul cOllectiOn"" 1st Concert In Korea","TBA","2023-05-27 05:00:00+00",61
20,"2023-04-03 02:16:14.828833+00","2023-04-03 04:57:16.675565+00","2023 ELAST ""THRILL"" North America Tour","Houston, Texas (Cullen Performance Hall)","2023-05-06 06:00:00+00",62
21,"2023-04-03 02:17:32.973302+00","2023-04-03 04:57:59.642899+00","8th Anniversary Fan Meeting","Ewha Womans Univesity Samsung Hall","2023-04-06 08:00:00+00",63
22,"2023-04-03 02:19:19.713479+00","2023-04-03 04:57:23.92805+00","""Prologue: TURN OVER"" 1st Live Concert","Rolling Hall","2023-04-08 08:00:00+00",64
23,"2023-04-03 02:21:14.775157+00","2023-04-03 04:57:46.891811+00","Promise ""Move Again"" 15th Anniversary Fan Meeting 2023","Sejong University Daeyang Hall","2023-04-08 04:00:00+00",65
24,"2023-04-03 02:23:10.260568+00","2023-04-03 04:57:09.444218+00","""NICE TO "" Showcase Tour","Los Angeles","2023-04-04 08:00:00+00",66
25,"2023-04-03 02:24:35.642968+00","2023-04-03 04:57:37.507438+00","ITZY ""WANNABE With Bench"" Fan Meet 2023","SM Mall Of Asia Arena","2023-04-16 07:00:00+00",67
26,"2023-04-03 02:28:03.092356+00","2023-04-03 04:57:30.979244+00","2023 ""Rolling with US' Roll Paradise"" First USA Tour","Seattle, WA (Funhouse)","2023-04-10 09:00:00+00",68
27,"2023-04-03 02:29:30.928268+00","2023-04-03 04:56:57.927511+00","Apink ""Pink Drive"" Fan Concert","Tokyo (Zepp Haneda)","2023-04-17 05:00:00+00",69
